variable,103_present,106_present,106-_present,91-1_label,91-1_type,91-1_present,91-2_label,91-2_type,91-2_present,95_present,99_present,95_label,95_type,103_label,103_type,106_label,106_type,106-_label,106-_type,99_label,99_type,years_count
id,0,0,0,樣本編號,numeric,1,樣本編號,numeric,1,1,1,流水編號,numeric,,,,,,,流水編,numeric,4
j4,1,1,1,,,0,,,0,0,1,,,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,haven_labelled,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,haven_labelled,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,haven_labelled,J4.請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少？【,haven_labelled,4
g4,1,1,1,,,0,,,0,0,1,,,G4.請問您現在住的房子樓地板面積是多少?__坪,numeric,G4.經濟戶長需不需要負責家計?,haven_labelled,G4.經濟戶長需不需要負責家計?,haven_labelled,G4.請問您個人有沒有信用貸款、車貸、信用卡、現金卡等的貸款呢？,haven_labelled,4
j2,1,1,1,,,0,,,0,0,1,,,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的支出?【過去,haven_labelled,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,haven_labelled,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,haven_labelled,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修等」的費用是多少？【過去ㄧ年,haven_labelled,4
f1,1,1,1,,,0,,,0,0,1,,,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,haven_labelled,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,haven_labelled,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,haven_labelled,F1.請問您們家是不是符合地方政府列冊登記有案的低收入戶？,haven_labelled,4
j3,1,1,1,,,0,,,0,0,1,,,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機,haven_labelled,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,haven_labelled,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,haven_labelled,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養油錢、市內,haven_labelled,4
g3,1,1,1,,,0,,,0,0,1,,,G3.請問您現在住的房子是什麼時候購買/搭建的?,haven_labelled,G3.經濟戶長教育程度?,haven_labelled,G3.經濟戶長教育程度?,haven_labelled,G3.請問您們家目前有沒有房屋貸款？,haven_labelled,4
i3,1,1,1,,,0,,,0,0,1,,,I3.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,haven_labelled,I3.經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,I3.經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,I3.包含您本人，全家每個月接受「政府發給津貼、補助、各種保險」總收入是多少？【過去,haven_labelled,4
g2,1,1,1,,,0,,,0,0,1,,,G2.請問您每個月的房屋租金是多少?[回答完跳答G6],haven_labelled,G2.經濟戶長今年幾歲?,haven_labelled,G2.經濟戶長今年幾歲?,haven_labelled,G2.若房子為租賃者（G1回答2、3者），請問您每個月的房屋租金是多少？,haven_labelled,4
f2,1,1,1,,,0,,,0,0,1,,,F2.請問您的配偶屬於以下那種身分?,haven_labelled,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,haven_labelled,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,haven_labelled,F2.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,numeric,4
k2,1,1,1,,,0,,,0,0,1,,,K2.請問您個人每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,K2.請問您個人每個月可以儲蓄（存錢）的金額是多少？,haven_labelled,4
h5,1,1,1,,,0,,,0,0,1,,,H5.請問您個人每個月的「房屋、土地出租租金」收入總共是多少?,haven_labelled,H5.您現在住的房子如果出租的話，租金會是多少?__元,numeric,H5.您現在住的房子如果出租的話，租金會是多少?__元,numeric,H5.除了以上這些收入以外，請問您個人每個月「其他」收入總共是多少？,haven_labelled,4
i1,1,1,1,,,0,,,0,0,1,,,I1.除了您本人以外，家裡有沒有「其他家人」有固定收入?,haven_labelled,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,I1.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入？,haven_labelled,4
h4,1,1,1,,,0,,,0,0,1,,,H4.請問您個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多少?,haven_labelled,H4.您現在住的房子樓地板面積是多少?__坪,numeric,H4.您現在住的房子樓地板面積是多少?__坪,numeric,H4.請問您個人每個月的「房屋、土地出租租金」收入總共是多少？,haven_labelled,4
w,0,1,1,,,0,樣本權數,numeric,1,0,1,,,,,樣本權數,numeric,樣本權數,numeric,推估權數,numeric,4
m2,1,1,1,,,0,,,0,0,1,,,M2.請問您家裡有沒有連上網際網路?,haven_labelled,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?【過,haven_labelled,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?【過,haven_labelled,M2.請問您所屬的族別？,haven_labelled,4
h3,1,1,1,,,0,,,0,0,1,,,H3.請問您個人每個月「紅白包禮金、私人發給救濟金/慰問金、向私人借住房屋省下的房租」,haven_labelled,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,numeric,H3.您現在住的房子是什麼時候購買/搭建的?民國__年,numeric,H3.請問您個人每個月的「利息、股票買賣、跟會標會、各種投資」收入總共是多少？【過去,haven_labelled,4
no,1,1,1,,,0,,,0,0,1,,,流水編號,numeric,流水編,numeric,流水編,numeric,樣本戶號,numeric,4
h2,1,1,1,,,0,,,0,0,1,,,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?,haven_labelled,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],haven_labelled,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],haven_labelled,H2.請問您個人每個月接受「政府津貼補助、各種保險」收入總共是多少？,haven_labelled,4
k1_1,1,1,1,,,0,,,0,0,1,,,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資一,haven_labelled,K1-1.經濟戶長每個月用於投資的金額是多少?,haven_labelled,K1-1.經濟戶長每個月用於投資的金額是多少?,haven_labelled,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,4
h1,1,1,1,,,0,,,0,0,1,,,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,H1.您現在住的房子是屬於誰的?,haven_labelled,H1.您現在住的房子是屬於誰的?,haven_labelled,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,4
