variable,91_1_label,91_1_type,91_1_present,91_2_label,91_2_type,91_2_present,95_label,95_type,95_present,99_label,99_type,99_present,103_label,103_type,103_present,106_label,106_type,106_present,110_label,110_type,110_present,years_count
h2,,,0,,,0,,,0,H2.請問您個人每個月接受「政府津貼補助、各種保險」收入總共是多少？,haven_labelled,1,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?,haven_labelled,1,H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?[回答完跳答I部分],haven_labelled,1,"請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少？ 【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿1,500元 □(3)1,500 元-未滿2,000元 □(4)2,000 元-未滿2,500元 □(5)2,500 元-未滿3,000元 □(6)3,000 元-未滿5,000元 □(7)5,000 元-未滿10,000元 □(8)",character,1,4
i3,,,0,,,0,,,0,I3.包含您本人，全家每個月接受「政府發給津貼、補助、各種保險」總收入是多少？【過去,haven_labelled,1,I3.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,haven_labelled,1,I3.經濟戶長有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,1,請問您有沒有參加「儲蓄互助社 (儲互社)」？ □(1)有 □(2)沒有,character,1,4
g4,,,0,,,0,,,0,G4.請問您個人有沒有信用貸款、車貸、信用卡、現金卡等的貸款呢？,haven_labelled,1,G4.請問您現在住的房子樓地板面積是多少?__坪,numeric,1,G4.經濟戶長需不需要負責家計?,haven_labelled,1,"包含經濟戶長本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入 是多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元",character,1,4
h1,,,0,,,0,,,0,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,1,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,haven_labelled,1,H1.您現在住的房子是屬於誰的?,haven_labelled,1,"請問您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少？ 【110年平均每個月的金額】 □(1)未滿3,000元 □(2)3,000 元-未滿5,000元 □(3)5,000 元-未滿7,000元 □(4)7,000 元-未滿10,000元 □(5)10,000 元-未滿12,000元 □(6)12,000 元-未滿15,000元 □(7)15,000 元-未滿20,",character,1,4
i4,,,0,,,0,,,0,I4.包含您本人，全家每個月的「利息、股票買賣、跟會標會、各種投資」總收入是多少？【,haven_labelled,1,I4.包含您本人，全家每個月接受「政府發給津貼、補助、各種社會保險、私人保險」總收入,haven_labelled,1,I4.除了消費性貸款、創業貸款、私人借貸，經濟戶長有沒有其他貸款?,haven_labelled,1,請問您們家是不是符合地方政府列冊登記有案的中低收入戶？ □(1)是低收入戶 □(2)是中低收入戶 □(3)不是中低收入戶 J 部分：網路設備使用狀況,character,1,4
l2,,,0,,,0,,,0,L2.請問您知不知道「原住民綜合發展基金貸款」？,haven_labelled,1,L2.請問您知不知道原住民族委員會有「專案貸款」的業務?,haven_labelled,1,L2.除了經濟戶長本人以外，這些有固定收入的家人中，具有原住民身分者有幾位?,haven_labelled,1,請問您或您的家人是否使用過政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施？ □(1) 是。請紀錄________(機關)提供之________措施(貸款)停問 □(2) 否。 □(3) 不知道停問,character,1,4
i2,,,0,,,0,,,0,I2.包含您本人，全家每個月的「工作薪水、兼差薪水、加班費、退休金，或是從事農林漁牧,haven_labelled,1,I2.除了您本人以外，家裡有沒有「其他具有原住民身分的家人」有固定收入?,haven_labelled,1,I2.經濟戶長有沒有創業貸款?,haven_labelled,1,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3,character,1,4
j2,,,0,,,0,,,0,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修等」的費用是多少？【過去ㄧ年,haven_labelled,1,J2.請問您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的支出?【過去,haven_labelled,1,J2.經濟戶長個人每個月接受「政府津貼補助、各種社會保險、私人保險受益」收入總共是多,haven_labelled,1,請問您家裡有沒有連上網際網路？ □(1)有 □(2)沒有 □(98)不知道 K 部分：多元性別議題,character,1,4
k2,,,0,,,0,,,0,K2.請問您個人每個月可以儲蓄（存錢）的金額是多少？,haven_labelled,1,K2.請問您個人每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,1,K2.經濟戶長每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,1,請問您是否能包容跨性別者或同性婚姻家庭？ □(1)能跳答L1 □(2)不能 □(3)不知道,character,1,4
county,縣市鄉鎮市區,haven_labelled,1,縣市鄉鎮市區,haven_labelled,1,縣市鄉鎮市區,haven_labelled,1,縣市代碼,haven_labelled,1,,,0,,,0,,,0,4
i1,,,0,,,0,,,0,I1.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入？,haven_labelled,1,I1.除了您本人以外，家裡有沒有「其他家人」有固定收入?,haven_labelled,1,I1.經濟戶長有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等消費性貸款呢?,haven_labelled,1,請問您或您的家人最需要政府提供什麼幫忙？(單選) □(1)提供職業訓練、輔導就業或轉業 □(2)提供短期低利貸款來協助自行創業 □(3)提供長期低利貸款來協助購屋或換屋 □(4)提供補助金 □(5)提供短期工作機會 □(6)其他，請說明____________________ □(7)都不需要,character,1,4
f2,,,0,,,0,,,0,F2.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人？,numeric,1,F2.請問您的配偶屬於以下那種身分?,haven_labelled,1,F2.目前與您「同戶籍」，但「沒有住在一起」、「有經濟依賴關係」的有幾個人?,haven_labelled,1,"請問經濟戶長每個月可以儲蓄（存錢）的金額是多少？ □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000 元-未滿15,000元 □(4)15,000 元-未滿20,000元 □(5)20,000 元-未滿30,000元 □(6)30,000元-未滿40,000元 □(7)40,000元-未滿50,000元 □(8)50,000元-未滿60,000元 □(9)6",character,1,4
j6,,,0,,,0,,,0,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、紅白包禮金、捐款」的費用,haven_labelled,1,J6.請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款,haven_labelled,1,J6.除了以上這些收入以外，經濟戶長個人每個月「其他雜項」收入總共是多少?【過去一年平,haven_labelled,1,,,0,3
q14,14.請問您家中有幾部彩色電視機?,haven_labelled,1,14.請問您家中有幾部彩色電視機?,haven_labelled,1,Q14.請問您個人每個月可以儲蓄(存錢)的金額是多少?,haven_labelled,1,,,0,,,0,,,0,,,0,3
j3,,,0,,,0,,,0,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養油錢、市內,haven_labelled,1,J3.請問您全家每個月用在支付「上下班上下學通勤、搭乘交通工具、汽機車保養/油錢、汽機,haven_labelled,1,J3.經濟戶長個人每個月「紅白包禮金、私人發給救濟金/慰問金/獎助學金、向私人借住房屋,haven_labelled,1,,,0,3
q6,6.請問您的配偶是不是原住民?,haven_labelled,1,6.請問您的配偶是不是原住民?,haven_labelled,1,Q6.請問您們家目前有沒有房屋貸款?,haven_labelled,1,,,0,,,0,,,0,,,0,3
h6,,,0,,,0,,,0,,,0,H6.除了以上這些收入以外，請問您(經濟戶長)個人每個月「其他雜項」收入總共是多少?,haven_labelled,1,H6.您們家目前有沒有房屋貸款?,haven_labelled,1,"請問您全家每個月用在支付「繳各種稅、勞健保、農漁保險、買彩券、紅白包禮金、捐款」的費 用是多少？【110年平均每個月的金額，部分稅每年繳納一次請以12個月平均】 □(1)未滿1,000元 □(2)1,000 元-未滿1,500元 □(3)1,500 元-未滿2,000元 □(4)2,000 元-未滿2,500元 □(5)2,500 元-未滿3,000元 □(6)3,000 元-未滿4,000元 □",character,1,3
q8,8.請問您的職業是什麼?(以9月15日~9月21日為準),haven_labelled,1,8.請問您的職業是什麼?(以12月15日~12月21日為準),haven_labelled,1,Q8.請問您有沒有信用貸款、汽車貸款、信用卡、現金卡等的貸款呢?,haven_labelled,1,,,0,,,0,,,0,,,0,3
j5,,,0,,,0,,,0,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少？【過去ㄧ年平均每,haven_labelled,1,J5.請問您全家每個月用在支付「抽煙、飲酒、吃檳榔等」的費用是多少?【過去ㄧ年平均每個,haven_labelled,1,J5.經濟戶長個人每個月的「房屋、土地出租租金」收入總共是多少?【過去一年平均每個月的,haven_labelled,1,,,0,3
j4,,,0,,,0,,,0,J4.請問您全家每個月用在支付「看病就醫、繳保險費、購買醫療設備等」的費用是多少？【,haven_labelled,1,J4.請問您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是,haven_labelled,1,J4.經濟戶長個人每個月的「存款利息、跟會利息、股票利息、各種投資利息」收入總共是多,haven_labelled,1,,,0,3
q3,3.請問您的教育程度?,haven_labelled,1,3.請問您的教育程度?,haven_labelled,1,Q3.請問您現在住的房子是屬於誰的?,haven_labelled,1,,,0,,,0,,,0,,,0,3
f1,,,0,,,0,,,0,F1.請問您們家是不是符合地方政府列冊登記有案的低收入戶？,haven_labelled,1,F1.請問目前與您住在一起共同生活的【包括自己且不限原住民】有幾個人?,haven_labelled,1,F1.目前與您「同戶籍」且「共同生活」的有幾個人(包括自己且不限原住民)?,haven_labelled,1,,,0,3
f3_1,,,0,,,0,,,0,F3-1.請問您的先生/太太所屬的族別？,haven_labelled,1,F3.請問您家庭的主要經濟來源是什麼?(可複選，超過總收入五分之一者皆算入主要經濟來源),haven_labelled,1,,,0,除了經濟戶長本人，其他家人目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資 G 部分：家庭收入,character,1,3
q9,9.請問您的行業是什麼?(以9月15日~9月21日為準),haven_labelled,1,9.請問您的行業是什麼?(以12月15日~12月21日為準),haven_labelled,1,Q9.請問您有沒有申請創業貸款?,haven_labelled,1,,,0,,,0,,,0,,,0,3
q2,2.請問您的年齡,haven_labelled,1,2.請問您的年齡,haven_labelled,1,Q2.請問您住的房子是幾層樓的?,haven_labelled,1,,,0,,,0,,,0,,,0,3
j1,,,0,,,0,,,0,J1.請問您全家每個月用在支付「吃飯、蔬菜魚肉、水果、飲料費等」的費用是多少？【過去,haven_labelled,1,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?【過去,haven_labelled,1,J1.經濟戶長個人每個月「工作薪水、兼差薪水、加班費、退休金、年終獎金，以及從事農林,haven_labelled,1,,,0,3
q4,4.請問您所屬的族別?,haven_labelled,1,4.請問您所屬的族別?,haven_labelled,1,Q4.請問您房屋每個月的租金是多少?,haven_labelled,1,,,0,,,0,,,0,,,0,3
q15,15.請問您家中有幾部家用電腦?,haven_labelled,1,15.請問您家中有幾部家用電腦?,haven_labelled,1,Q15.請問您或您的家人最需要政府提供什麼幫忙,haven_labelled,1,,,0,,,0,,,0,,,0,3
g8,,,0,,,0,,,0,,,0,G8.請問您有沒有向親友、雇主、店家等借錢、預支薪水或賒帳等情形?,haven_labelled,1,G8.經濟戶長從事的行業有沒有透過創意將原住民文化元素運用或展現在產品或服務中?,haven_labelled,1,"包含經濟戶長本人，全家每個月除了以上這些收入以外的「其他雜項」收入總共是多少？【110 年平均每個月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 ",character,1,3
q10,10.請問您主要工作的身分是?,haven_labelled,1,10.請問您主要工作的身分是?,haven_labelled,1,Q10.請問您主要工作的身分是?,haven_labelled,1,,,0,,,0,,,0,,,0,3
g6,,,0,,,0,,,0,,,0,G6.請問您們家目前有沒有房屋貸款?,haven_labelled,1,G6.經濟戶長的配偶屬於以下那種身分?,haven_labelled,1,"包含經濟戶長本人，全家每個月的「存款利息、跟會利息、股票利息、各種投資利息」總收入是 多少？【110年平均每個月的金額】 □(1)未滿1,000元 □(2)1,000 元-未滿2,000元 □(3)2,000 元-未滿3,000元 □(4)3,000 元-未滿4,000元 □(5)4,000 元-未滿5,000元 □(6)5,000 元-未滿6,000元 □(7)6,000 元-未滿8,000元 ",character,1,3
m2,,,0,,,0,,,0,M2.請問您所屬的族別？,haven_labelled,1,M2.請問您家裡有沒有連上網際網路?,haven_labelled,1,M2.您全家每個月用在支付「房租、水電瓦斯、住宅裝修、建築物保險等」的費用是多少?【過,haven_labelled,1,,,0,3
no,,,0,,,0,,,0,樣本戶號,numeric,1,流水編號,numeric,1,流水編,numeric,1,,,0,3
k1_2,,,0,,,0,,,0,K1.請問您個人目前有從事以下哪些投資嗎？(可複選),haven_labelled,1,K1.請問您個人目前有從事以下哪些投資嗎?(可複選)投資二,haven_labelled,1,,,0,請問您或您的家人是跨性別者或同性婚姻家庭？(可複選) □(1)是，跨性別者跳答L1 □(2)是，同性婚姻家庭跳答L1 □(3)不是 □(4)不知道,character,1,3
g7,,,0,,,0,,,0,,,0,G7.請問您個人有沒有信用貸款、車貸、信用卡、現金卡、擔保貸款、就學貸款等的貸款呢?,haven_labelled,1,G7.經濟戶長從事的行業?,haven_labelled,1,"包含經濟戶長本人，全家每個月的「房屋、土地出租租金」收入總共是多少？【110年平均每個 月的金額】 □(1)未滿5,000元 □(2)5,000 元-未滿10,000元 □(3)10,000元-未滿15,000元 □(4)15,000元-未滿20,000元 □(5)20,000元-未滿25,000元 □(6)25,000元-未滿30,000元 □(7)30,000元-未滿40,000元 □(8)4",character,1,3
h2o,,,0,,,0,,,0,,,0,H2.請問您個人每個月接受「政府津貼補助、各種社會保險、私人保險」收入總共是多少?請記,numeric,1,"H2.若房子為租賃/配住者(H1回答3、4、5者)，您每個月的房屋租金是多少?(11)20,000元以上，請紀",character,1,h2o,numeric,1,3
h1o,,,0,,,0,,,0,,,0,H1.請問您個人每個月「工作薪水、兼差薪水、加班費、退休金，以及從事農林漁業或自己做,numeric,1,H1.您現在住的房子是屬於誰的?其他，請說明__,character,1,h1o,numeric,1,3
q16,16.請問您住宅的建築結構是?,haven_labelled,1,16.請問您住宅的建築結構是?,haven_labelled,1,Q16.請問您知不知道「原住民綜合發展基金貸款」?,haven_labelled,1,,,0,,,0,,,0,,,0,3
q11,11.請問您家中有幾部自用汽車?,haven_labelled,1,11.請問您家中有幾部自用汽車?,haven_labelled,1,Q11.除了您本人以外，家裡有沒有其他具有原住民身分的家人有固定收入?,haven_labelled,1,,,0,,,0,,,0,,,0,3
l2_1,,,0,,,0,,,0,L2-1.請問您個人或您的家人有沒有申請「原住民綜合發展基金貸款」？,haven_labelled,1,L2-1.請問您個人或您的家人未來有沒有申請「原民會專案貸款」的需求?,haven_labelled,1,,,0,請問您或您的家人是否使用過政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施？ □(1) 是。請紀錄________(機關)提供之________措施(貸款)停問 □(2) 否。 □(3) 不知道停問,character,1,3
w,,,0,樣本權數,numeric,1,,,0,推估權數,numeric,1,,,0,樣本權數,numeric,1,,,0,3
q1,1.性別,haven_labelled,1,1.性別,haven_labelled,1,Q1.請問您目前住的房子的用途是屬於?,haven_labelled,1,,,0,,,0,,,0,,,0,3
l2_3_8,,,0,,,0,,,0,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,1,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目八,haven_labelled,1,,,0,,,0,2
f1_1_5,,,0,,,0,,,0,,,0,F1-1-5.65歲以上的原住民族有幾位?,haven_labelled,1,F1-1-5.與您同戶籍且共同生活的人(包括自己且不限原住民)，65歲以上的原住民有幾位?,haven_labelled,1,,,0,2
f1_1_4,,,0,,,0,,,0,,,0,F1-1-4.55-64歲的原住民族有幾位?,haven_labelled,1,F1-1-4.與您同戶籍且共同生活的人(包括自己且不限原住民)，55-64歲的原住民有幾位?,haven_labelled,1,,,0,2
q18,18.請問您的住宅是自有、租賃、配住、借用?,haven_labelled,1,18.請問您的住宅是自有、租賃、配住、借用?,haven_labelled,1,,,0,,,0,,,0,,,0,,,0,2
j7_2_1,,,0,,,0,,,0,J7-2.請問您家庭過去一年有沒有各項學費/補習費/報紙雜誌書籍文具的支出,haven_labelled,1,J7-2.「各項學費/補習費/家教費」支出有無,haven_labelled,1,,,0,,,0,2
l2_3_6,,,0,,,0,,,0,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,1,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目六,haven_labelled,1,,,0,,,0,2
f1_1_3,,,0,,,0,,,0,,,0,F1-1-3.16-54歲的原住民族有幾位?,haven_labelled,1,F1-1-3.與您同戶籍且共同生活的人(包括自己且不限原住民)，16-54歲的原住民有幾位?,haven_labelled,1,,,0,2
f1_1_2,,,0,,,0,,,0,,,0,F1-1-2.7-15歲的原住民族有幾位?,haven_labelled,1,F1-1-2.與您同戶籍且共同生活的人(包括自己且不限原住民)，7-15歲的原住民有幾位?,haven_labelled,1,,,0,2
j7_1_2,,,0,,,0,,,0,J7-1.平均每個月支出金額,haven_labelled,1,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出金額,haven_labelled,1,,,0,,,0,2
i2_3,,,0,,,0,,,0,,,0,,,0,I2-3.經濟戶長每個月要繳納的創業貸款總共是多少?【過去一年平均每個月的金額】,haven_labelled,1,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3,character,1,2
q17,17.請問您住宅的面積有多少坪(建坪)?,haven_labelled,1,17.請問您住宅的面積有多少坪(建坪)?,haven_labelled,1,,,0,,,0,,,0,,,0,,,0,2
f1_1_1,,,0,,,0,,,0,,,0,F1-1-1.6歲以下的原住民族有幾位?,haven_labelled,1,F1-1-1.與您同戶籍且共同生活的人(包括自己且不限原住民)，6歲以下的原住民有幾位?,haven_labelled,1,,,0,2
f1_1,,,0,,,0,,,0,,,0,F1-1.其中原住民族有幾位?,haven_labelled,1,,,0,請問經濟戶長目前有從事以下哪些投資嗎？(可複選) □(1)銀行定存 □(2)投資股票 □(3)投資基金 □(4)投資債券/期貨 □(5)買黃金 □(6)買儲蓄型或投資型保險 □(7)投資不動產(土地、房屋) □(8)投資外幣 □(9)投資虛擬貨幣(如比特幣) □(10)參加民間跟會 □(11)其他，請說明_____________ □(12)都沒有投資跳答F2,character,1,2
i2_2,,,0,,,0,,,0,,,0,,,0,I2-2.經濟戶長的創業貸款總共借了多少錢?,haven_labelled,1,請問您知不知道原住民族委員會有「原住民族綜合發展基金貸款」的業務（包含微笑貸、青年創 業貸款、經濟產業貸款）？ □(1)知道 □(2)不知道請簡要說明後，跳答I2-3,numeric,1,2
j7_1_1,,,0,,,0,,,0,J7-1.請問您家庭過去一年有沒有打掃家庭/洗衣洗碗/請傭人的支出,haven_labelled,1,J7-1.「打掃家庭/洗衣洗碗/請佣人」的支出有無,haven_labelled,1,,,0,,,0,2
l2_3_7,,,0,,,0,,,0,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,1,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目七,haven_labelled,1,,,0,,,0,2
l2_3_9,,,0,,,0,,,0,L2-3.請問您希望透過哪一種媒體看到或聽到有關「原住民綜合發展基金貸款」的相關資訊？(,haven_labelled,1,L2-3.請問您希望申請「原民會專案貸款」有哪些項目?(可複選)項目九,haven_labelled,1,,,0,,,0,2
j7_2_2,,,0,,,0,,,0,J7-2.平均每個月支出金額,haven_labelled,1,J7-2.「各項學費/補習費/家教費」支出金額,haven_labelled,1,,,0,,,0,2
l3_1,,,0,,,0,,,0,L3.請問您或您的家人有沒有需要信用貸款、汽車貸款、信用卡、現金卡貸款？房屋貸款？創,haven_labelled,1,,,0,,,0,請問您或您的家人沒有申請政府因應嚴重特殊傳染性肺炎(Covid-19)相關紓困措施的原因有哪 些？(可複選) □(1)申請資格不符而未申請 □(2)不清楚有什麼措施可以申請 □(3)被拒絕受理。請紀錄原因_____________ □(4)沒有需求 □(5)其他（請說明）__________ ※您的資料僅供原住民族委員會探討經濟狀況使用不做他途※ 【特殊狀況註記】 附 1-14,character,1,2
j1o,,,0,,,0,,,0,,,0,J1.請問您全家每個月用在支付「買菜、水果、非酒精飲料費、零食等」的費用是多少?請記錄,numeric,1,,,0,j1o,numeric,1,2
n3,,,0,,,0,,,0,,,0,N3.請問您今年幾歲?,haven_labelled,1,N3.您有沒有參加「儲蓄互助社(儲互社)」?,haven_labelled,1,,,0,2
m4,,,0,,,0,,,0,M4.請問您的教育程度？,haven_labelled,1,,,0,M4.您全家每個月用在支付「看病就醫、繳醫療保險費、購買醫療用品/設備等」的費用是多少,haven_labelled,1,,,0,2
g9,,,0,,,0,,,0,,,0,,,0,G9.經濟戶長從事的原住民文化創意產業性質為何?,haven_labelled,1,請問家中有沒有戶籍不在這裡，也沒有居住在這裡，但每個月或定期會提供家裡金錢的家人？ □(1)有 □(2)沒有跳答H部分,character,1,2
g6_1,,,0,,,0,,,0,,,0,G6-1.請問您家中目前的房屋貸款總共借(貸)了多少錢?,haven_labelled,1,G6-1.經濟戶長的先生/太太所屬的族別?,haven_labelled,1,,,0,2
g5o,,,0,,,0,,,0,,,0,G5.請問您現在住的房子當初購買/搭建共花了多少錢?請記錄___元,character,1,,,0,g5o,numeric,1,2
n4,,,0,,,0,,,0,,,0,N4.請問您的教育程度?,haven_labelled,1,N4.您們家是不是符合地方政府列冊登記有案的中低收入戶?,haven_labelled,1,,,0,2
m1,,,0,,,0,,,0,M1.請問您需不需要負責家計？,haven_labelled,1,,,0,M1.您全家每個月用在支付「買米/肉/菜、水果、非酒精飲料費、糖果零食等」的費用是多少?,haven_labelled,1,,,0,2
